ID,iyear,imonth,iday,date,dayweek,country_txt,country,region,region_txt,provstate,city,summary,crit1,crit2,crit3,success,suicide,doubtter_txt,doubtterr,gname,attacktype1_txt,Attacktype,attacktype2_txt,attacktype2,targtype,targtype1,targsubtype1_txt,targsubtype1,targtype2_txt,targtype2,targsubtype2_txt,targsubtype2,weaptype1_txt,weaptype1,weapsubtype1_txt,weapsubtype1,weaptype2_txt,weaptype2,weapsubtype2_txt,weapsubtype2,nkill,nkillter,nwound,nwoundte,helper,Foiling Method,Foiling Method (other),Key Factors Leading to Prevention,Key Factors Leading to Prevention (other),Arrests Made,Convictions Made,Case file link (if possible) , Post-incident on-the-ground changes,cite1,cite2,cite3,lat,long
197109160001,1971,9,16,9/16/1971,5,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,,,,,1,0,Terrorism,0,Unknown,Bombing/Explosion,3,,#N/A,Tourists,18,"Police Building (headquarters, station, school)",#N/A,,#N/A,,#N/A,Explosives,6,Unknown Explosive Type,16,,#N/A,,#N/A,1,,11,,19710916,,,,,,,,,,,,,
197205300001,1972,5,30,5/30/1972,3,Israel,97,10,Middle East & North Africa,Central,Lod,,,,,1,0,Terrorism,0,Japanese Red Army (JRA),Bombing/Explosion,3,,#N/A,Airports & Aircraft,6,School/University/Educational Building,49,,#N/A,,#N/A,Firearms,5,Automatic or Semi-Automatic Rifle,2,Explosives,6,Grenade,7,26,,72,,19720530,,,,,,,,,,,,,
197209200001,1972,9,20,9/20/1972,4,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,"09/20/1972: A letter bomb addressed to Shimon Peres, the Communications Minister, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",,,,0,0,Terrorism,0,Black September,Assassination,1,,#N/A,Government (General),2,School/University/Educational Building,49,,#N/A,,#N/A,Explosives,6,Letter Bomb,9,,#N/A,,#N/A,0,0,0,0,19720920,,,,,,,,,,,,,
197209200002,1972,9,20,9/20/1972,4,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,"09/20/1972: A letter bomb addressed to Dr. M. A. Kurtz, the Ministry of Welfare Director General, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",,,,0,0,Terrorism,0,Black September,Assassination,1,,#N/A,Government (General),2,Electricity,107,,#N/A,,#N/A,Explosives,6,Letter Bomb,9,,#N/A,,#N/A,0,0,0,0,19720920,,,,,,,,,,,,,
197209200003,1972,9,20,9/20/1972,4,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,"09/20/1972: A letter bomb addressed to Michael Hazani, the Welfare Minister, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",,,,0,0,Terrorism,0,Black September,Assassination,1,,#N/A,Government (General),2,Laborer (General)/Occupation Identified,77,,#N/A,,#N/A,Explosives,6,Letter Bomb,9,,#N/A,,#N/A,0,0,0,0,19720920,,,,,,,,,,,,,
197209200004,1972,9,20,9/20/1972,4,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,"09/20/1972: A letter bomb addressed to Arie Pincus, a The Jewish Agency executive chairperson, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of two letter bombs addressed to Pincus and one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",,,,0,0,Terrorism,0,Black September,Assassination,1,,#N/A,NGO,12,Airport,44,,#N/A,,#N/A,Explosives,6,Letter Bomb,9,,#N/A,,#N/A,0,0,0,0,19720920,,,,,,,,,,,,,
197209200005,1972,9,20,9/20/1972,4,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,"09/20/1972: A letter bomb addressed to Arie Pincus, a The Jewish Agency executive chairperson, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of two letter bombs addressed to Pincus and one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",,,,0,0,Terrorism,0,Black September,Assassination,1,,#N/A,NGO,12,"International Organization (peacekeeper, aid agency, compound)",47,,#N/A,,#N/A,Explosives,6,Letter Bomb,9,,#N/A,,#N/A,0,0,0,0,19720920,,,,,,,,,,,,,
197209200006,1972,9,20,9/20/1972,4,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,"09/20/1972: A letter bomb addressed to Dr. Israel Goldstein was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",,,,0,0,Terrorism,0,Black September,Assassination,1,,#N/A,Private Citizens & Property,14,Bus Station/Stop,101,,#N/A,,#N/A,Explosives,6,Letter Bomb,9,,#N/A,,#N/A,0,0,0,0,19720920,,,,,,,,,,,,,
197209200007,1972,9,20,9/20/1972,4,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,"09/20/1972: A letter bomb addressed to Roberto Artzi, a Ministry of Finance employee, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",,,,0,0,Terrorism,0,Black September,Assassination,1,,#N/A,Government (General),2,Judge/Attorney/Court,14,,#N/A,,#N/A,Explosives,6,Letter Bomb,9,,#N/A,,#N/A,0,0,0,0,19720920,,,,,,,,,,,,,
197209200008,1972,9,20,9/20/1972,4,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,"09/20/1972: A letter bomb addressed to Yosef Bar, a Ministry of Transportation employee, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",,,,0,0,Terrorism,0,Black September,Assassination,1,,#N/A,Government (General),2,Head of State,17,,#N/A,,#N/A,Explosives,6,Letter Bomb,9,,#N/A,,#N/A,0,0,0,0,19720920,,,,,,,,,,,,,
197209200009,1972,9,20,9/20/1972,4,Israel,97,10,Middle East & North Africa,Jerusalem,Jerusalem,"09/20/1972: A letter bomb addressed to Yosef Weitz, a Jewish National Fund official, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",,,,0,0,Terrorism,0,Black September,Assassination,1,,#N/A,NGO,12,Named Civilian,68,,#N/A,,#N/A,Explosives,6,Letter Bomb,9,,#N/A,,#N/A,0,0,0,0,19720920,,,,,,,,,,,,,
