Location,Latitude,Longitude
Abasan al-Kabira,31.3167,34.34
Aboud,32,35.05
Abu Dis,31.75,35.26
Abu Ghosh,31.8,35.1
Achiya,32.05,35.35
Achziv,33.0333,35.1
Acre,32.9236,35.0714
Adam,31.85,35.2333
Adei Ad,32,35.3
Adora,31.54,35.02
Afula,32.61,35.29
Ain Siniya,32,35.2167
Akbara,32.95,35.5
Akko,32.9236,35.0714
Akraba,32.1667,35.35
Al-Aroub,31.65,35.15
al-Bireh,31.91,35.22
Al-Jib,31.85,35.17
Al-Khader,31.7,35.1667
Al-Qarrarah,31.38,34.34
Al-Ram,31.85,35.23
Al-Shati,31.5333,34.4333
al-Tira,32.2333,34.95
Al-Walaja,31.7333,35.1667
Alei Zahav,32.0833,35.05
Alfei Menashe,32.1667,35.0333
Alma,33.0833,35.5
Almon,31.85,35.3
Alon Shvut,31.65,35.12
Anabta,32.3,35.1
Anatot,31.83,35.27
Ara,32.4667,35.05
Arraba,32.4667,35.25
Arad,31.26,35.21
Argaman,32.1,35.5
Ariel,32.1056,35.185
Ashdod,31.8,34.65
Ashkelon,31.6667,34.5667
Asira al-Qibliya,32.2,35.2333
Asira ash-Shamaliya,32.25,35.2667
Atarot,31.85,35.2
Ateret,32,35.15
Atil,32.35,35.05
Auja,31.9,35.45
Avivim,33.0833,35.45
Avnei Hefetz,32.2333,35.0833
Azor,32.0167,34.8
Azun,32.1667,35.05
Bahan,32.35,35
Baka al-Gharbiya,32.4167,35.05
Bal'a,32.3167,35.1
Balata,32.2167,35.2833
Bani Na'im,31.5,35.15
Bani Suheila,31.3333,34.3167
Bardala,32.3833,35.5
Barkai,32.45,35
Barkan,32.1167,35.1
Bat Ayin,31.65,35.1
Bat Yam,32.0167,34.75
Bayt Fajar,31.65,35.15
Bayt Furik,32.2,35.3333
Bayt Jala,31.7,35.2
Bayt Umar,31.6,35.1
Baytuniya,31.9,35.1833
Be'eri,31.4167,34.5
Beer Tuvia,31.7333,34.7
Beersheba,31.25,34.8333
Beit Awwa,31.5333,34.95
Beit Dajan,32.1167,35.2833
Beit Duqqu,31.85,35.1
Beit Einun,31.57,35.13
Beit El,31.9333,35.2333
Beit Hanina,31.815,35.21
Beit Hanoun,31.5353,34.535
Beit Horon,31.875,35.12
Beit Jala,31.715,35.1875
Beit Lahia,31.5464,34.4956
Beit Lahiya,31.5464,34.4956
Beit Lid,32.2833,35.0833
Beit Likya,31.9,35.05
Beit Meir,31.7833,35.0667
Beit Safafa,31.75,35.2
Beit Sahir,31.7,35.2
Beit Sahour,31.7042,35.2225
Beit She'an,32.5,35.5
Beit Shemesh,31.75,34.9833
Beit Ur al-Tahta,31.9,35.0833
Beit Zurif,31.65,35.05
Beit-Fourik,32.2,35.3333
Beita,32.1333,35.2667
Beita a Tahta,32.1167,35.2667
Beitillu,31.95,35.0833
Beitilu,31.95,35.0833
Beitunia,31.9,35.1833
Bekaot,32.2333,35.45
Bene Beraq,32.0833,34.8333
Benyamin,31.9,35.2
Beqa'ot,32.2333,35.45
Bet El,31.9333,35.2167
Bet Lid,32.2833,35.0833
Bet Shemesh,31.75,34.9833
Bet Zayit,31.7667,35.15
Betar Illit,31.7,35.1
Bethany,31.77,35.26
Bethlehem,31.7058,35.2007
Biddya,32.1167,35.05
Bidiya,32.1167,35.05
Binyamina,32.52,34.95
Bir Zeit,31.9667,35.1833
Bireh,31.9,35.2
Birzeit,31.9667,35.1833
Bitot,32.1167,35.2667
Bnei Yaish Collective,31.8,34.75
Brosh,31.5,34.5
Bureij,31.45,34.4
Burin,32.1667,35.2333
Burqa,32.2333,35.2
Burqin,32.4667,35.25
Buruquin,32.4667,35.25
